pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,carga,fecha
1.0,17.4,10057.4,9188.1,147.0,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:36.539502
1.0,17.6,10057.4,9188.1,150.7,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:37.591003
1.0,17.9,10187.9,9391.0,154.5,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:38.654003
1.0,18.1,10187.9,9391.0,158.3,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:39.724503
1.0,18.4,12075.9,11128.6,162.1,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:40.825006
1.0,18.6,12436.1,11583.2,146.1,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:41.896004
1.0,18.9,12578.8,11718.1,147.5,0.8460890802,10.6644310140,1167352.1,2.0,3000.0,2021-06-01 20:10:42.947002
1.0,19.8,12719.4,11851.2,148.9,0.7693670942,9.3658689706,2020488.2,2.0,3000.0,2021-06-01 20:10:44.005003
1.0,22.3,12860.1,11984.4,150.2,0.8954976847,11.2405104094,2205233.4,2.0,3000.0,2021-06-01 20:10:45.060002
1.0,21.2,13000.5,12117.2,161.3,0.7905587827,9.9788646433,2054790.6,2.0,3000.0,2021-06-01 20:10:46.112502
1.0,21.1,13141.9,12251.2,163.4,0.7791111071,9.8428190655,2038442.3,2.0,3000.0,2021-06-01 20:10:47.174003
1.0,21.0,13282.2,12383.9,147.5,0.7677496663,9.7076710552,2022155.7,2.0,3000.0,2021-06-01 20:10:48.234502
1.0,25.5,11414.5,10668.2,144.7,0.8688160766,10.3158422588,3136317.1,2.0,3000.0,2021-06-01 20:10:49.293504
1.0,25.5,11519.0,10767.0,145.9,0.8629527788,10.2664716200,3128147.7,2.0,3000.0,2021-06-01 20:10:50.081002
1.0,25.5,11526.4,10774.0,145.9,0.8625494437,10.2631425566,3127596.9,2.0,3000.0,2021-06-01 20:10:50.133002
1.0,6.9,0.7,0.7,0.0,0.0001529884,0.0000000000,13168810.3,2.0,4000.0,2021-06-01 20:11:50.235004
